Country,continent
AFGHANISTAN,AS
ALBANIA,EU
ALGERIA,AF
ANGOLA,AF
ARGENTINA,SAM
ARMENIA,AS
AUSTRALIA,OC
AUSTRIA,EU
AZERBAIJAN,AS/EU
BAHAMAS,NAM
BAHRAIN,AS
BANGLADESH,AS
BARBADOS,NAM
BELARUS,EU
BELGIUM,EU
BELIZE,NAM
BENIN,AF
BHUTAN,AS
BOLIVIA,SAM
BOSNIA AND HERZEGOVINA,EU
BOTSWANA,AF
BRAZIL,SAM
BRUNEI DARUSSALAM,AS
BULGARIA,EU
BURKINA FASO,AF
BURUNDI,AF
CABO VERDE,AF
CAMBODIA,AS
CAMEROON,AF
CANADA,NAM
CENTRAL AFRICAN REPUBLIC,AF
CHAD,AF
CHILE,SAM
CHINA,AS
COLOMBIA,SAM
COMOROS,AF
CONGO,AF
"CONGO, DEMOCRATIC REPUBLIC OF THE",AF
COSTA RICA,NAM
CROATIA,EU
CYPRUS,EU
CZECHIA,EU
DENMARK,EU
DJIBOUTI,AF
DOMINICAN REPUBLIC,NAM
ECUADOR,SAM
EGYPT,AF
EL SALVADOR,NAM
EQUATORIAL GUINEA,AF
ESTONIA,EU
ESWATINI,AF
ETHIOPIA,AF
FIJI,OC
FINLAND,EU
FRANCE,EU
GABON,AF
GAMBIA,AF
GEORGIA,AS/EU
GERMANY,EU
GHANA,AF
GREECE,EU
GUATEMALA,NAM
GUINEA,AF
GUINEA-BISSAU,AF
GUYANA,SAM
HAITI,NAM
HONDURAS,NAM
HONG KONG SAR,AS
HUNGARY,EU
ICELAND,EU
INDIA,AS
INDONESIA,AS
IRAN,AS
IRAQ,AS
IRELAND,EU
ISRAEL,AS
ITALY,EU
IVORY COAST,AF
JAMAICA,NAM
JAPAN,AS
JORDAN,AS
KAZAKHSTAN,AS
KENYA,AF
"KOREA, REPUBLIC OF",AS
KUWAIT,AS
KYRGYZSTAN,AS
LAO P.D.R.,AS
LATVIA,EU
LEBANON,AS
LESOTHO,AF
LIBERIA,AF
LIBYA,AF
LITHUANIA,EU
LUXEMBOURG,EU
MACAO SAR,AS
MACEDONIA,EU
MADAGASCAR,AF
MALAWI,AF
MALAYSIA,AS
MALDIVES,AS
MALI,AF
MALTA,EU
MAURITANIA,AF
MAURITIUS,AF
MEXICO,NAM
MOLDOVA,EU
MONGOLIA,AS
MONTENEGRO,EU
MOROCCO,AF
MOZAMBIQUE,AF
MYANMAR,AS
NAMIBIA,AF
NEPAL,AS
NETHERLANDS,EU
NEW ZEALAND,OC
NICARAGUA,NAM
NIGER,AF
NIGERIA,AF
NORWAY,EU
OMAN,AS
PAKISTAN,AS
PANAMA,NAM
PAPUA NEW GUINEA,OC
PARAGUAY,SAM
PERU,SAM
PHILIPPINES,AS
POLAND,EU
PORTUGAL,EU
PUERTO RICO,NAM
QATAR,AS
ROMANIA,EU
RUSSIAN FEDERATION,AS/EU
RWANDA,AF
SAINT LUCIA,NAM
SAINT VINCENT AND THE GRENADINES,NAM
SAMOA,OC
SAO TOME AND PRINCIPE,AF
SAUDI ARABIA,AS
SENEGAL,AF
SERBIA,EU
SIERRA LEONE,AF
SINGAPORE,AS
SLOVAKIA,EU
SLOVENIA,EU
SOLOMON ISLANDS,OC
SOMALIA,AF
SOUTH AFRICA,AF
SOUTH SUDAN,AF
SPAIN,EU
SUDAN,AF
SURINAME,SAM
SWEDEN,EU
SWITZERLAND,EU
"TAIWAN, CHINA",AS
TAJIKISTAN,AS
TANZANIA,AF
THAILAND,AS
TIMOR-LESTE,AS
TOGO,AF
TONGA,OC
TRINIDAD AND TOBAGO,NAM
TUNISIA,AF
TURKEY,AS/EU
TURKMENISTAN,AS
UGANDA,AF
UNITED ARAB EMIRATES,AS
UNITED KINGDOM,EU
UNITED STATES,NAM
URUGUAY,SAM
UZBEKISTAN,AS
VANUATU,OC
VENEZUELA,SAM
VIETNAM,AS
YEMEN,AS
ZAMBIA,AF
ZIMBABWE,AF
